,ORIGIN_AIRPORT,DESTINATION_AIRPORT,ARRIVAL_DELAY
981,DAY,ORD,1060
982,DAY,TPA,58
983,DBQ,ORD,236
984,DCA,ACK,17
985,DCA,ATL,1856
986,DCA,AUS,112
987,DCA,BDL,222
988,DCA,BNA,293
989,DCA,BOS,2586
990,DCA,BTR,1
991,DCA,CAK,67
992,DCA,CHS,222
993,DCA,CLE,362
994,DCA,CLT,995
995,DCA,CMH,105
996,DCA,CVG,21
997,DCA,DAL,652
998,DCA,DEN,549
999,DCA,DFW,1105
1000,DCA,DTW,576
1001,DCA,EWR,634
1002,DCA,FLL,855
1003,DCA,GSP,1
1004,DCA,HOU,273
1005,DCA,HPN,1
1006,DCA,HSV,10
1007,DCA,IAH,705
1008,DCA,IND,197
1009,DCA,JAX,203
1010,DCA,JFK,452
1011,DCA,LAS,74
1012,DCA,LAX,277
1013,DCA,LEX,1
1014,DCA,LGA,1517
1015,DCA,MCI,172
1016,DCA,MCO,1103
1017,DCA,MDW,799
1018,DCA,MIA,1280
1019,DCA,MKE,232
1020,DCA,MSP,494
1021,DCA,MSY,192
1022,DCA,ORD,2067
1023,DCA,PBI,371
1024,DCA,PDX,67
1025,DCA,PHL,31
1026,DCA,PHX,421
1027,DCA,PIT,2
1028,DCA,PNS,6
1029,DCA,PVD,16
1030,DCA,PWM,6
1031,DCA,RDU,17
1032,DCA,RSW,270
1033,DCA,SDF,1
1034,DCA,SEA,168
1035,DCA,SFO,195
1036,DCA,SJU,114
1037,DCA,SLC,174
1038,DCA,STL,252
1039,DCA,SYR,25
1040,DCA,TPA,911
1041,DEN,ABQ,687
1042,DEN,ALB,1
1043,DEN,AMA,299
1044,DEN,ANC,216
1045,DEN,ASE,553
1046,DEN,ATL,1795
1047,DEN,AUS,1308
1048,DEN,BDL,149
1049,DEN,BFL,309
1050,DEN,BHM,164
1051,DEN,BIL,428
1052,DEN,BIS,540
1053,DEN,BMI,2
1054,DEN,BNA,866
1055,DEN,BOI,769
1056,DEN,BOS,920
1057,DEN,BUR,533
1058,DEN,BWI,758
1059,DEN,BZN,362
1060,DEN,CAK,100
1061,DEN,CID,293
1062,DEN,CLE,440
1063,DEN,CLT,729
1064,DEN,CMH,263
1065,DEN,COD,132
1066,DEN,COS,965
1067,DEN,CPR,352
1068,DEN,CVG,567
1069,DEN,DAL,577
1070,DEN,DAY,245
1071,DEN,DCA,505
1072,DEN,DFW,2555
1073,DEN,DIK,133
1074,DEN,DRO,194
1075,DEN,DSM,430
1076,DEN,DTW,1056
1077,DEN,EGE,6
1078,DEN,ELP,432
1079,DEN,EUG,275
1080,DEN,EWR,1090
1081,DEN,FAR,544
1082,DEN,FAT,480
1083,DEN,FCA,380
1084,DEN,FLL,429
1085,DEN,FSD,591
1086,DEN,GCC,171
1087,DEN,GEG,545
1088,DEN,GJT,163
1089,DEN,GRR,289
1090,DEN,GSO,54
1091,DEN,GTF,309
1092,DEN,GUC,130
1093,DEN,HDN,50
1094,DEN,HLN,166
1095,DEN,HNL,205
1096,DEN,HOU,733
1097,DEN,HSV,89
1098,DEN,HYS,144
1099,DEN,IAD,1166
1100,DEN,IAH,2251
1101,DEN,ICT,357
1102,DEN,IDA,414
1103,DEN,IND,767
1104,DEN,ISN,493
1105,DEN,JAC,412
1106,DEN,JAX,166
1107,DEN,JFK,324
1108,DEN,JMS,185
1109,DEN,KOA,40
1110,DEN,LAR,133
1111,DEN,LAS,2423
1112,DEN,LAX,2769
1113,DEN,LBB,326
1114,DEN,LFT,52
1115,DEN,LGA,1236
